Individual 0
Total 1.44191e-11
Individual 1
Total 9.73525e-11
Individual 2
Total 5.72758e-10
Individual 3
Total 4.20339e-09
Individual 4
Total 2.59326e-08
Individual 5
Total 4.3449e-08
Individual 6
Total 1.19642e-08
Individual 7
Total 1.62084e-09
Individual 8
Total 2.43233e-10
Individual 9
Total 4.63225e-11
Individual 10
Total 1.14289e-13
Individual 11
Total 2.51925e-11
Individual 12
Total 1.74946e-10
Individual 13
Total 1.14509e-09
Individual 14
Total 1.15468e-08
Individual 15
Total 1.36655e-07
Individual 16
Total 3.13952e-07
Individual 17
Total 4.47789e-08
Individual 18
Total 3.69635e-09
Individual 19
Total 4.55014e-10
Individual 20
Total 8.16946e-11
Individual 21
Total 1.97193e-13
Individual 22
Total 2.74457e-11
Individual 23
Total 1.95508e-11
Individual 24
Total 1.31034e-10
Individual 25
Total 1.07787e-09
Individual 26
Total 2.05788e-08
Individual 27
Total 1.21794e-06
Individual 28
Total 1.26745e-05
Individual 29
Total 2.47042e-07
Individual 30
Total 6.51287e-09
Individual 31
Total 4.7833e-10
Individual 32
Total 7.1732e-11
Individual 33
Total 1.47513e-11
Individual 34
Total 3.40254e-12
Individual 35
Total 8.14803e-13
Individual 36
Total 1.67237e-13
Individual 37
Total 5.02152e-12
Individual 38
Total 3.41627e-11
Individual 39
Total 2.96379e-10
Individual 40
Total 6.32486e-09
Individual 41
Total 3.70507e-07
Individual 42
Total 3.26717e-06
Individual 43
Total 8.02354e-08
Individual 44
Total 1.91585e-09
Individual 45
Total 1.28233e-10
Individual 46
Total 1.85471e-11
Individual 47
Total 3.77574e-12
Individual 48
Total 8.68446e-13
Individual 49
Total 2.07784e-13
Individual 50
Total 4.26359e-14

